z6-25664,Port1,Port1,Port2,Port2,Port3,Port3,Port7,Port7,Port8,Port8
# Records: 1035,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,TEROS 11 Moisture/Temp,Battery,Battery,Barometer,Barometer
Timestamps, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature, m3/m3 Water Content, degree_C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
08/07/2024 01:00:00 PM,0.382,30.2,0.35,28.5,0.384,26.5,94,7750,100.28,35.8
08/07/2024 02:00:00 PM,0.381,30.4,0.35,28.3,0.384,26,95,7766,100.22,36.2
08/07/2024 03:00:00 PM,0.38,30.6,0.35,28.2,0.384,25.8,100,7830,100.17,36.4
08/07/2024 04:00:00 PM,0.379,31.2,0.35,28.2,0.384,25.7,100,7859,100.13,36.6
08/07/2024 05:00:00 PM,0.377,31.5,0.35,28.2,0.384,25.6,100,7860,100.1,36
08/07/2024 06:00:00 PM,0.376,31.5,0.35,28.3,0.384,25.6,100,7852,100.09,34.7
08/07/2024 07:00:00 PM,0.375,31.1,0.35,28.4,0.384,25.5,100,7852,100.1,33.1
08/07/2024 08:00:00 PM,0.375,30.6,0.349,28.4,0.384,25.5,100,7848,100.12,30
08/07/2024 09:00:00 PM,0.375,30,0.349,28.5,0.384,25.5,100,7843,100.16,28.3
08/07/2024 10:00:00 PM,0.375,29.5,0.349,28.5,0.384,25.4,100,7843,100.18,27.6
08/07/2024 11:00:00 PM,0.375,29.1,0.349,28.5,0.385,25.4,100,7843,100.19,27.3
08/08/2024 12:00:00 AM,0.375,28.7,0.349,28.5,0.385,25.4,100,7842,100.18,26.8
08/08/2024 01:00:00 AM,0.376,28.4,0.349,28.4,0.385,25.4,100,7827,100.17,26.1
08/08/2024 02:00:00 AM,0.376,28.2,0.349,28.3,0.385,25.4,100,7828,100.16,26.2
08/08/2024 03:00:00 AM,0.377,28,0.349,28.2,0.385,25.4,100,7830,100.14,26
08/08/2024 04:00:00 AM,0.377,27.8,0.349,28.2,0.385,25.4,100,7828,100.13,25.7
08/08/2024 05:00:00 AM,0.377,27.7,0.349,28.1,0.385,25.4,100,7827,100.15,25.5
08/08/2024 06:00:00 AM,0.377,27.6,0.349,28,0.385,25.4,100,7827,100.16,25.5
08/08/2024 07:00:00 AM,0.378,27.4,0.35,27.9,0.385,25.4,100,7827,100.2,24.2
08/08/2024 08:00:00 AM,0.379,27.2,0.35,27.8,0.386,25.4,100,7822,100.22,24.4
08/08/2024 09:00:00 AM,0.379,27.2,0.35,27.7,0.386,25.4,100,7833,100.21,25.7
08/08/2024 10:00:00 AM,0.379,27.6,0.35,27.6,0.386,25.4,100,7899,100.15,29.7
08/08/2024 11:00:00 AM,0.377,28.6,0.35,27.6,0.386,25.4,100,7908,100.15,31.4
08/08/2024 12:00:00 PM,0.376,29,0.35,27.5,0.386,25.4,100,7938,100.15,30.8
08/08/2024 01:00:00 PM,0.375,29.5,0.35,27.5,0.386,25.4,100,7955,100.15,33
08/08/2024 02:00:00 PM,0.375,30,0.35,27.6,0.386,25.4,100,7960,100.13,32.1
08/08/2024 03:00:00 PM,0.374,30.1,0.35,27.6,0.386,25.3,100,7971,100.1,31.3
08/08/2024 04:00:00 PM,0.374,30.2,0.35,27.7,0.386,25.3,100,7985,100.06,32
08/08/2024 05:00:00 PM,0.373,30.4,0.349,27.8,0.387,25.3,100,7986,100.03,32.2
08/08/2024 06:00:00 PM,0.372,30.4,0.349,27.9,0.387,25.3,100,7985,100.02,31.8
08/08/2024 07:00:00 PM,0.372,30.3,0.349,28,0.387,25.3,100,7978,100.03,30.2
08/08/2024 08:00:00 PM,0.372,29.8,0.349,28,0.387,25.3,100,7971,100.06,28.2
08/08/2024 09:00:00 PM,0.372,29.3,0.349,28.1,0.387,25.3,100,7969,100.12,26.5
08/08/2024 10:00:00 PM,0.372,28.8,0.349,28.1,0.387,25.3,100,7966,100.14,25.8
08/08/2024 11:00:00 PM,0.373,28.4,0.349,28.1,0.387,25.3,100,7964,100.14,24.8
08/09/2024 12:00:00 AM,0.373,28,0.349,28.1,0.387,25.3,100,7963,100.14,24.1
08/09/2024 01:00:00 AM,0.373,27.7,0.349,28,0.387,25.3,100,7958,100.12,23.8
08/09/2024 02:00:00 AM,0.373,27.4,0.349,27.9,0.387,25.3,100,7957,100.12,23.6
08/09/2024 03:00:00 AM,0.373,27.1,0.349,27.8,0.387,25.3,100,7956,100.14,23.5
08/09/2024 04:00:00 AM,0.373,26.9,0.349,27.7,0.387,25.3,100,7956,100.13,23.2
08/09/2024 05:00:00 AM,0.374,26.6,0.349,27.6,0.387,25.3,100,7955,100.13,23
08/09/2024 06:00:00 AM,0.374,26.4,0.349,27.5,0.387,25.3,100,7955,100.17,23.2
08/09/2024 07:00:00 AM,0.374,26.3,0.349,27.4,0.387,25.3,100,7954,100.18,24.2
08/09/2024 08:00:00 AM,0.374,26.4,0.349,27.3,0.387,25.3,100,7962,100.17,25.4
08/09/2024 09:00:00 AM,0.373,26.8,0.349,27.2,0.388,25.3,100,7997,100.17,29.4
08/09/2024 10:00:00 AM,0.372,27.7,0.349,27.2,0.388,25.3,100,8033,100.16,33.1
08/09/2024 11:00:00 AM,0.371,28.8,0.349,27.1,0.388,25.3,100,8074,100.15,34.5
08/09/2024 12:00:00 PM,0.369,29.7,0.349,27.1,0.388,25.3,100,8093,100.11,34.5
08/09/2024 01:00:00 PM,0.367,30.4,0.349,27.2,0.388,25.3,100,8113,100.09,35.5
08/09/2024 02:00:00 PM,0.366,31.1,0.349,27.3,0.388,25.3,100,8137,100.05,36.8
08/09/2024 03:00:00 PM,0.364,32,0.348,27.4,0.388,25.3,100,8142,100,37.8
08/09/2024 04:00:00 PM,0.362,32.4,0.348,27.6,0.388,25.3,100,8142,99.98,37
08/09/2024 05:00:00 PM,0.361,32.4,0.348,27.8,0.388,25.3,100,8131,99.98,35.3
08/09/2024 06:00:00 PM,0.36,32.1,0.348,28,0.388,25.3,100,8120,99.96,33.9
08/09/2024 07:00:00 PM,0.359,31.7,0.347,28.2,0.388,25.3,100,8108,99.96,32.2
08/09/2024 08:00:00 PM,0.359,31,0.347,28.3,0.388,25.3,100,8105,99.96,29.9
08/09/2024 09:00:00 PM,0.36,30.3,0.347,28.4,0.388,25.3,100,8095,99.99,28.6
08/09/2024 10:00:00 PM,0.36,29.8,0.347,28.5,0.388,25.3,100,8088,100.03,27
08/09/2024 11:00:00 PM,0.36,29.3,0.346,28.5,0.388,25.3,100,8088,100.03,25.7
08/10/2024 12:00:00 AM,0.36,28.9,0.346,28.4,0.388,25.3,100,8083,100.03,24.9
08/10/2024 01:00:00 AM,0.361,28.5,0.346,28.4,0.388,25.3,100,8075,100.03,24.6
08/10/2024 02:00:00 AM,0.361,28.2,0.346,28.3,0.388,25.3,100,8074,100,24.2
08/10/2024 03:00:00 AM,0.361,27.9,0.346,28.2,0.387,25.3,100,8074,100,24
08/10/2024 04:00:00 AM,0.361,27.6,0.346,28.2,0.387,25.3,100,8072,100,23.9
08/10/2024 05:00:00 AM,0.361,27.4,0.346,28.1,0.387,25.3,100,8069,99.99,23.8
08/10/2024 06:00:00 AM,0.362,27.1,0.346,28,0.387,25.3,100,8064,100.02,23.7
08/10/2024 07:00:00 AM,0.362,27,0.346,27.8,0.387,25.3,100,8067,100.05,24.3
08/10/2024 08:00:00 AM,0.362,27,0.346,27.7,0.387,25.4,100,8068,100.08,26.4
08/10/2024 09:00:00 AM,0.361,27.3,0.346,27.6,0.387,25.4,100,8098,100.06,29.4
08/10/2024 10:00:00 AM,0.36,28,0.346,27.6,0.387,25.4,100,8136,100.02,32.6
08/10/2024 11:00:00 AM,0.359,28.9,0.346,27.5,0.387,25.4,100,8175,100.01,35.1
08/10/2024 12:00:00 PM,0.358,30.1,0.346,27.5,0.387,25.4,100,8198,99.99,37.2
08/10/2024 01:00:00 PM,0.356,31.2,0.346,27.5,0.387,25.4,100,8215,99.95,38.4
08/10/2024 02:00:00 PM,0.354,32.2,0.345,27.6,0.387,25.4,100,8219,99.91,38.9
08/10/2024 03:00:00 PM,0.352,32.7,0.345,27.8,0.387,25.4,100,8210,99.89,37.8
08/10/2024 04:00:00 PM,0.351,32.6,0.345,28,0.387,25.4,100,8194,99.88,36.9
08/10/2024 05:00:00 PM,0.35,32.4,0.344,28.2,0.387,25.4,100,8179,99.86,34.6
08/10/2024 06:00:00 PM,0.35,31.9,0.344,28.4,0.387,25.4,100,8168,99.85,33.4
08/10/2024 07:00:00 PM,0.35,31.6,0.344,28.5,0.387,25.4,100,8155,99.85,34.1
08/10/2024 08:00:00 PM,0.35,31.2,0.344,28.6,0.387,25.4,100,8143,99.86,31.2
08/10/2024 09:00:00 PM,0.351,30.7,0.343,28.7,0.387,25.4,100,8137,99.9,28.9
08/10/2024 10:00:00 PM,0.351,30.2,0.343,28.7,0.387,25.4,100,8131,99.95,28.2
08/10/2024 11:00:00 PM,0.351,29.8,0.343,28.8,0.387,25.4,100,8125,99.94,27.2
08/11/2024 12:00:00 AM,0.351,29.4,0.342,28.7,0.387,25.4,100,8120,99.94,26.3
08/11/2024 01:00:00 AM,0.352,29.1,0.342,28.7,0.387,25.4,100,8114,99.91,26
08/11/2024 02:00:00 AM,0.352,28.8,0.342,28.6,0.387,25.4,100,8110,99.88,26
08/11/2024 03:00:00 AM,0.352,28.6,0.342,28.6,0.387,25.4,100,8108,99.88,26.5
08/11/2024 04:00:00 AM,0.352,28.3,0.342,28.5,0.387,25.4,100,8105,99.88,26
08/11/2024 05:00:00 AM,0.352,28.1,0.342,28.4,0.387,25.5,100,8097,99.87,25.6
08/11/2024 06:00:00 AM,0.353,28,0.342,28.3,0.387,25.5,100,8096,99.88,25.4
08/11/2024 07:00:00 AM,0.353,27.8,0.342,28.2,0.387,25.5,100,8096,99.93,26.1
08/11/2024 08:00:00 AM,0.353,27.8,0.342,28.2,0.387,25.5,100,8103,99.96,28.2
08/11/2024 09:00:00 AM,0.352,28.1,0.342,28.1,0.387,25.5,100,8124,99.99,30.2
08/11/2024 10:00:00 AM,0.352,28.6,0.342,28,0.387,25.5,100,8159,100.01,32.4
08/11/2024 11:00:00 AM,0.35,29.4,0.342,28,0.387,25.5,100,8203,99.98,35.2
08/11/2024 12:00:00 PM,0.349,30.4,0.341,27.9,0.387,25.5,100,8217,99.94,36.5
08/11/2024 01:00:00 PM,0.348,31.1,0.341,28,0.387,25.5,100,8230,99.92,36.4
08/11/2024 02:00:00 PM,0.347,31.6,0.341,28.1,0.387,25.5,100,8225,99.89,37.1
08/11/2024 03:00:00 PM,0.346,31.9,0.341,28.2,0.387,25.5,100,8224,99.87,36.8
08/11/2024 04:00:00 PM,0.345,32.1,0.34,28.3,0.387,25.5,100,8210,99.84,37
08/11/2024 05:00:00 PM,0.345,32,0.34,28.4,0.387,25.5,100,8187,99.83,35.3
08/11/2024 06:00:00 PM,0.344,31.7,0.34,28.6,0.387,25.6,100,8172,99.83,33.8
08/11/2024 07:00:00 PM,0.345,31.4,0.339,28.7,0.387,25.6,100,8162,99.82,32.5
08/11/2024 08:00:00 PM,0.345,30.9,0.339,28.8,0.387,25.6,100,8151,99.84,30.7
08/11/2024 09:00:00 PM,0.346,30.4,0.339,28.9,0.387,25.6,100,8143,99.89,29.1
08/11/2024 10:00:00 PM,0.346,30,0.338,28.9,0.386,25.6,100,8136,99.92,28.6
08/11/2024 11:00:00 PM,0.346,29.6,0.338,28.9,0.386,25.6,100,8132,99.93,27.8
08/12/2024 12:00:00 AM,0.346,29.3,0.338,28.8,0.387,25.6,100,8125,99.95,26.6
08/12/2024 01:00:00 AM,0.347,29,0.338,28.8,0.386,25.6,100,8119,99.95,26.1
08/12/2024 02:00:00 AM,0.347,28.7,0.338,28.7,0.386,25.6,100,8115,99.95,26.6
08/12/2024 03:00:00 AM,0.347,28.5,0.338,28.6,0.386,25.6,100,8113,99.94,26.3
08/12/2024 04:00:00 AM,0.347,28.4,0.338,28.6,0.386,25.6,100,8111,99.96,26
08/12/2024 05:00:00 AM,0.347,28.2,0.337,28.5,0.386,25.6,100,8104,99.97,25.6
08/12/2024 06:00:00 AM,0.347,28,0.337,28.4,0.386,25.6,100,8102,100.02,26.1
08/12/2024 07:00:00 AM,0.347,28,0.337,28.3,0.386,25.6,100,8103,100.06,26.5
08/12/2024 08:00:00 AM,0.347,28,0.338,28.2,0.386,25.6,100,8105,100.1,28.7
08/12/2024 09:00:00 AM,0.347,28.4,0.338,28.2,0.387,25.7,100,8118,100.11,31.9
08/12/2024 10:00:00 AM,0.346,29,0.338,28.1,0.387,25.7,100,8148,100.12,34.5
08/12/2024 11:00:00 AM,0.346,29.8,0.337,28.1,0.387,25.7,100,8165,100.13,34.6
08/12/2024 12:00:00 PM,0.345,30.5,0.337,28.1,0.386,25.7,100,8203,100.1,37
08/12/2024 01:00:00 PM,0.344,31.6,0.337,28.1,0.386,25.7,100,8226,100.08,39
08/12/2024 02:00:00 PM,0.343,32.6,0.337,28.2,0.386,25.7,100,8222,100.07,39.2
08/12/2024 03:00:00 PM,0.342,33,0.337,28.4,0.386,25.7,100,8221,100.05,39.3
08/12/2024 04:00:00 PM,0.341,33.2,0.336,28.5,0.386,25.7,100,8207,100.03,39.5
08/12/2024 05:00:00 PM,0.341,33.3,0.336,28.7,0.386,25.7,100,8190,100.02,38.5
08/12/2024 06:00:00 PM,0.34,33.1,0.336,28.9,0.386,25.7,100,8171,100.02,36.8
08/12/2024 07:00:00 PM,0.341,32.7,0.335,29.1,0.386,25.7,100,8153,100.06,34.2
08/12/2024 08:00:00 PM,0.341,32,0.335,29.2,0.386,25.7,100,8141,100.1,31.8
08/12/2024 09:00:00 PM,0.341,31.4,0.335,29.3,0.386,25.7,100,8137,100.19,30.3
08/12/2024 10:00:00 PM,0.342,30.8,0.334,29.3,0.386,25.7,100,8124,100.23,29.6
08/12/2024 11:00:00 PM,0.342,30.3,0.334,29.3,0.386,25.7,100,8123,100.24,29
08/13/2024 12:00:00 AM,0.342,29.9,0.334,29.3,0.386,25.7,100,8117,100.27,28.6
08/13/2024 01:00:00 AM,0.342,29.6,0.334,29.2,0.386,25.7,100,8108,100.27,28.1
